Hashtag	Username	User handle	Date of posting	Text	Retweet count	Like count
#DaunteWright	Qasim Rashid, Esq. قاسم رشید	@QasimRashid	Mon Apr 12 18:47:14 +0000 2021	Systemic racism is when white people are 2.1X more likely than Black people to be armed—yet Police are 3.23X more l… https://t.co/vSdLAfm8LK	279	968
#DaunteWright	Etan Thomas	@etanthomas36	Mon Apr 12 18:44:53 +0000 2021	So you’re telling me that a trained police officer can’t tell the difference between where she keeps her gun and wh… https://t.co/DstlK5yG7n	31	190
#DaunteWright	Tyler	@FaggotMale	Mon Apr 12 18:43:46 +0000 2021	Please retweet #DaunteWright https://t.co/nTf0wPXMq0	4190	2701
#DaunteWright	Pau	@CubbyPau	Mon Apr 12 18:43:32 +0000 2021	"How to Support Daunte Wright’s 
Son and Girlfriend 
#DaunteWright #BlackLivesMatter https://t.co/fByvTgxevi"	191	144
#DaunteWright	☕ ☆ c i a r á n ☆ is trans*, so what?~ ✊🏿✊🏽✊🏻	@CiaranStrange	Mon Apr 12 18:42:46 +0000 2021	Okay... we need any and all cops who CAN’T tell the difference between a TASER and a HANDGUN to slowly surrender bo… https://t.co/547REURmaK	52	138
#DaunteWright	David DeBolt	@daviddebolt	Mon Apr 12 18:35:39 +0000 2021	Oscar Grant's uncle on the police killing of #DaunteWright in Minnesota https://t.co/VnPEXxWpjc	82	129
#DaunteWright	philip lewis	@Phil_Lewis_	Mon Apr 12 18:35:14 +0000 2021	The Minnesota Twins are postponing today's game against the Boston Red Sox in the wake of the #DaunteWright shootin… https://t.co/CJVMYAKsOh	81	195
#DaunteWright	Jamila Perritt MD MPH	@Reprorightsdoc	Mon Apr 12 18:33:41 +0000 2021	Understand that police violence is a #reproductivejustice issue. It is a #birthjustice issue. It is a #humanrights… https://t.co/V1qBSlnm5K	587	1676
#DaunteWright	Ibram X. Kendi	@DrIbram	Mon Apr 12 18:32:49 +0000 2021	Another life lost to police violence is one of the oldest storylines of Black history, from slave patrols in the 17… https://t.co/C9XDExTWNX	2355	8249
#DaunteWright	Leah McElrath 🏳️‍🌈	@leahmcelrath	Mon Apr 12 18:32:39 +0000 2021	"#GoFundMe for #DaunteWright and his family

VERIFIED by @kimvhyatt, a Minnesota reporter, to have been created by h… https://t.co/pJv55m4ibA"	141	155
#DaunteWright	Tiya Sircar	@tiyasircar	Mon Apr 12 18:31:18 +0000 2021	I understand that police officers are human &amp; humans are not infallible but yo, if a cop can’t differentiate betwee… https://t.co/FAfzdLYFDm	121	512
#DaunteWright	Sardonic Bev Votes Blue🗳	@beingbev	Mon Apr 12 18:30:44 +0000 2021	Meanwhile, 10 miles away from the Duante Wright fatal shooting, the Chauvin trial has a mountain of evidence that h… https://t.co/tPR3hQy2TA	57	120
#DaunteWright	Sara Pearl	@skenigsberg	Mon Apr 12 18:30:42 +0000 2021	The fact that the police are like I’m sorry we didn’t mean to kill #DaunteWright we meant to tase him instead as if… https://t.co/f71fX00XYe	24	164
#DaunteWright	Micky ScottBey Jones, The Justice Doula ✊🏾🖤🌈	@iammickyjones	Mon Apr 12 18:28:33 +0000 2021	An accident. An accident. An accident. We can't complete one grief cycle before the next begins. It's relentless. #DaunteWright	38	292
#DaunteWright	Schubes	@Schubes17	Mon Apr 12 18:28:31 +0000 2021	When I get pulled over, my biggest fear is that I’m going to get a ticket. When people of color get pulled over, th… https://t.co/gdZPKstj97	16	245
#DaunteWright	KID VICIOUS🔪	@kirkacevedo	Mon Apr 12 18:27:24 +0000 2021	"I’ve never accidentally pulled out my firearm and accidentally killed someone.

Just saying...
There are no acciden… https://t.co/lxyAUSGBi7"	715	4396
#DaunteWright	Vitalist International	@VitalistInt	Mon Apr 12 18:26:58 +0000 2021	An Open Letter to the Looters, from the Minneapolis Contingent of the Vitalist International. #DaunteWright https://t.co/5H0dWfoYbC	233	547
#DaunteWright	I Am Leah	@Bossy_Leah	Mon Apr 12 18:24:44 +0000 2021	"Great, another dead criminal as a martyr. #DaunteWright 

He had a warrant for failing to appear in court on an agg… https://t.co/vF5sPWM1sU"	47	191
#DaunteWright	Reverend Al Sharpton	@TheRevAl	Mon Apr 12 18:24:35 +0000 2021	“This whole climate speaks to why we need serious legislative police reform in this country.”- addressing the Minne… https://t.co/eqilNJRKHi	48	152
#DaunteWright	#RandomWhiteGuy	@TheReelRandom	Mon Apr 12 18:24:02 +0000 2021	Anger is the only legitimate response to yet another police killing of an unarmed black man.     Anger to the point… https://t.co/pyie0sD0sS	31	173
#DaunteWright	Gabrielle Dennis	@GabrielleDennis	Mon Apr 12 18:23:48 +0000 2021	If an officer can't tell their LEFT from their RIGHT, their DOMINANT side from their WEAK, or their GUN from their… https://t.co/XHclkUe5Ei	21	120
#DaunteWright	Dr. Jason Johnson	@DrJasonJohnson	Mon Apr 12 18:23:33 +0000 2021	"I guess another police officer ""Had a bad day"" 

#DaunteWright"	1597	11170
#DaunteWright	Shelby Kent-Stewart ™	@ShelbyKStewart	Mon Apr 12 18:21:00 +0000 2021	Since law enforcement won't hold itself accountable, I propose an Accidental Discharge to unemployment of every rac… https://t.co/Y0GxFL7xwA	45	115
#DaunteWright	Leah McElrath 🏳️‍🌈	@leahmcelrath	Mon Apr 12 18:19:34 +0000 2021	"The @nytimes and @washingtonpost both are disseminating police propaganda with these tweets. 

This is how media ou… https://t.co/rUW8awdUzT"	143	260
#DaunteWright	Ben Crump	@AttorneyCrump	Mon Apr 12 18:19:00 +0000 2021	Just-released bodycam footage shows the fatal shooting of #DaunteWright by an @BrklynCenterMN PD officer yesterday… https://t.co/IEwNpIUaC4	686	1313
#DaunteWright	Leslie Mac	@LeslieMac	Mon Apr 12 18:16:57 +0000 2021	Do you see how easily the police version of how they murdered #DaunteWright is accepted as truth? It happens so qui… https://t.co/7J5S5ISmcB	112	294
#DaunteWright	tracy the business goose	@brokeymcpoverty	Mon Apr 12 18:15:46 +0000 2021	"your black friends have ptsd and have had salt poured in unhealed wounds with the murder of #DaunteWright.

this is… https://t.co/vyIkEbcE9J"	313	1477
#DaunteWright	Notorious M.S.G.	@RahneKallon	Mon Apr 12 18:10:03 +0000 2021	"Imagine being a mother. 

And the last phone call you ever get from your son is that he's stopped by the police, MI… https://t.co/kVcazmYkZq"	52	164
#DaunteWright	Michael Blake	@MrMikeBlake	Mon Apr 12 18:10:00 +0000 2021	"If you're a cop and don't know the difference between a Taser and a Gun...

Oh never mind...

#DaunteWright"	34	191
#DaunteWright	Grande Capo	@VoLinxx	Mon Apr 12 18:05:25 +0000 2021	If you don't know your taser from the gun we saw you holding, you don't need to be a police officer. #DaunteWright	209	788
#DaunteWright	☆ 222 𓂀	@kilIacourt	Mon Apr 12 18:04:30 +0000 2021	They killed an innocent person yesterday btw #DaunteWright https://t.co/RSk1KYcFbx	60	114
#DaunteWright	Rachel Hardeman, PhD, MPH	@RRHDr	Mon Apr 12 18:00:41 +0000 2021	#DaunteWright died on the first day of #BlackMaternalHealthWeek. In his final moments #GeorgeFloyd called out for h… https://t.co/v7ArCea8NU	421	1487
#DaunteWright	Cory Hepola	@CoryHepola	Mon Apr 12 17:58:53 +0000 2021	"This Police Officer probably feels remorse, prob feels terrible, prob feels regret.

Still, there are consequences… https://t.co/ijOmkvTb3n"	11	171
#DaunteWright	Ducks Can Resist Too 🌊💙🦆 #FreshIsBest	@dhershiser	Mon Apr 12 17:58:40 +0000 2021	If there any police officers reading this tweet, can you let me know if your Taser is located right next to your gu… https://t.co/wo7WzTK9Pq	195	612
#DaunteWright	Dr. Wendy Osefo	@WendyOsefo	Mon Apr 12 17:56:53 +0000 2021	Having expired tags should not equal a death sentence. #DaunteWright should still be alive. All parties should be h… https://t.co/x0OTapaDg4	43	267
#DaunteWright	Jeffrey Levin	@jilevin	Mon Apr 12 17:56:14 +0000 2021	"RT if you believe that driving your automobile with expired tags should not carry the death penalty!

#DaunteWright"	173	246
#DaunteWright	Ricardo Lopez	@rljourno	Mon Apr 12 17:55:36 +0000 2021	As a Minnesota journalist who has now covered the police killings of #JamarClark #PhilandoCastille #GeorgeFloyd and… https://t.co/ui77lYh50I	118	876
#DaunteWright	Shomari Stone	@shomaristone	Mon Apr 12 17:51:50 +0000 2021	BREAKING: The police chief in a Minneapolis suburb where a Black man was fatally shot during a traffic stop says th… https://t.co/RpMmxSkHhb	202	320
#DaunteWright	Stella Safo, MD MPH	@AmmahStarr	Mon Apr 12 17:51:13 +0000 2021	"He called his momma...this child called his momma. And she couldn’t save him. 

It’s so fucked up. 

#DaunteWright"	68	728
#DaunteWright	Emmanuel Acho	@EmmanuelAcho	Mon Apr 12 17:50:18 +0000 2021	"Police officers fall into the category of professions with little to no room for error. 

You cannot repeatedly ann… https://t.co/sBwvahaloO"	2709	10272
#DaunteWright	Qasim Rashid, Esq. قاسم رشید	@QasimRashid	Mon Apr 12 17:48:07 +0000 2021	You'll never convince me we need armed officers authorized to use lethal force to issue citations for misdemeanor t… https://t.co/Bo8RuZQrkA	141	802
#DaunteWright	Grande Capo	@VoLinxx	Mon Apr 12 17:43:40 +0000 2021	Daunte Wright was murdered because a senior officer grabbed a gun while calling taser. Fuck that, they killed him on purpose. #DaunteWright	46	176
#DaunteWright	Ahmed Ali	@MrAhmednurAli	Mon Apr 12 17:43:29 +0000 2021	"We're not asking police to treat Black men with special care. We're saying don't kill us. It's that simple.

#DaunteWright"	18	133
#DaunteWright	Leah McElrath 🏳️‍🌈	@leahmcelrath	Mon Apr 12 17:41:51 +0000 2021	"HEADS UP

Body cam footage is now circulating that shows the Brooklyn Center police officer shooting #DaunteWright.… https://t.co/7QvpCRYuju"	494	569
#DaunteWright	philip lewis	@Phil_Lewis_	Mon Apr 12 17:41:38 +0000 2021	The police chief looks as though he’s getting ready to cry, and someone in the room says “I hope you’re not crying.… https://t.co/FgYm9qnTqI	46	145
#DaunteWright	Ron Johnson	@3RonJohnson	Mon Apr 12 17:40:46 +0000 2021	So if a normal civilian kills someone by mistake I’m pretty sure there is a law and word for that with consequences… https://t.co/8LDF217Eb2	12	187
#DaunteWright	Joyce Alene	@JoyceWhiteVance	Mon Apr 12 17:40:08 +0000 2021	Opinion from former police captain — hard to mistake your gun for your taser. #BrooklynCenter #DaunteWright https://t.co/DweoqNmVkY	1323	4774
#DaunteWright	Cory Hepola	@CoryHepola	Mon Apr 12 17:38:47 +0000 2021	"“Accidentally” shooting someone is still a crime. 

#DaunteWright"	6	114
#DaunteWright	Dr. Abdul El-Sayed	@AbdulElSayed	Mon Apr 12 17:37:54 +0000 2021	"#DaunteWright deserved to watch his baby boy grow up. 

Instead, that baby boy will grow up without his father--kno… https://t.co/SGId8PFgnd"	35	150
