Hashtag	Username	User handle	Date of posting	Text	Retweet count	Like count
#ArmenianGenocide	Cihan 🇹🇷✈	@politicalinf	Sat Apr 24 12:46:37 +0000 2021	"Hrant Dink is an Armenian...

He said ; Armenian genocide is a lie. Turks did not commit genocide.… https://t.co/bvsB8AhZa9"	3	42
#ArmenianGenocide	Maria Titizian	@MariaTitizian	Sat Apr 24 12:44:27 +0000 2021	My great grandfather, Movses Kerekian took part in the Musa Ler uprising against the Turks in 1915. It is because o… https://t.co/87QAhw7c58	11	80
#ArmenianGenocide	Nicholas A Heras	@NicholasAHeras	Sat Apr 24 12:43:14 +0000 2021	This is a brave statement of support for recognizing the #ArmenianGenocide by #Turkey's leading (and heavily persec… https://t.co/MitxBE54ll	24	69
#ArmenianGenocide	Ali Hajizade	@AHajizade	Sat Apr 24 12:39:25 +0000 2021	Armenians fought as part of military units and gangs from 1914 to 1920. Of course, when they fought, they also died… https://t.co/SHPxWSZnVr	56	58
#ArmenianGenocide	George Mastropavlos	@g_mastropavlos	Sat Apr 24 12:39:04 +0000 2021	"#Turkey’s diplomacy distortion field, where everything is twisted and in reverse. 

Don’t expect respect towards Hu… https://t.co/0aimN1m5nv"	12	32
#ArmenianGenocide	Tarık Büke 🇹🇷	@TarikBuke	Sat Apr 24 12:34:46 +0000 2021	"Stop lying!!! There is no such thing as armenian genocide. Corrupt politicians cannot change the history.

Listen w… https://t.co/Ighrgb49VE"	1	49
#ArmenianGenocide	The Greco-Syrian Nation	@GrecoNation	Sat Apr 24 12:34:28 +0000 2021	Today, we join with our Armenian brothers &amp; sisters to commemorate the start of the Armenian Genocide –… https://t.co/JZkxdgLb1S	189	817
#ArmenianGenocide	Armenian Genocide Museum & Institute	@ArmGenocide100	Sat Apr 24 12:34:23 +0000 2021	Member of the Congress of Deputies of Spain Jon Iñarritu's video message on Armenian Genocide’s anniversary.… https://t.co/9vI93yaP8o	17	57
#ArmenianGenocide	Peter Burns	@peterburns_1861	Sat Apr 24 12:32:30 +0000 2021	Thousands making their way to the #ArmenianGenocide Memorial to lay flowers and pay their respects. https://t.co/A1V5Jqz39e	117	583
#ArmenianGenocide	Anna A. Naghdalyan	@naghdalyan	Sat Apr 24 12:30:31 +0000 2021	.@Aivazian_Ara: Today, as we commemorate victims of #ArmenianGenocide, we should remember that a significant portio… https://t.co/qVvJgrEFpP	24	112
#ArmenianGenocide	Michael Rubin	@mrubin1971	Sat Apr 24 12:20:01 +0000 2021	"(1) Yes, Biden should recognize Armenian genocide: https://t.co/M4s5iGWEBI

(2) Here's how Turkey may retaliate:… https://t.co/P5qn3TJwbe"	52	170
#ArmenianGenocide	Julie Lenarz	@MsJulieLenarz	Sat Apr 24 12:16:54 +0000 2021	"Today marks the 106th anniversary of the #ArmenianGenocide.

1.5 million Armenians were systematically slaughtered… https://t.co/WVlNvAmv3n"	83	184
#ArmenianGenocide	Ebru Genç K. 🇹🇷🇹🇷	@ebrgncebrgnc	Sat Apr 24 12:11:24 +0000 2021	"#1915ArmenianLies 
We named you ""Nation as loyal to the faithful."" You betrayed us! You killed Turks! you are the b… https://t.co/eTs1MxIiUF"	13	57
#ArmenianGenocide	Alecko Eskandarian	@alecko11	Sat Apr 24 12:09:43 +0000 2021	This April 24th, on our 106th #ArmenianGenocide Remembrance Day, it’s more important than ever to honor the 1.5 mil… https://t.co/NzbH4RtsaK	22	127
#ArmenianGenocide	NEPOMAK	@NEPOMAK	Sat Apr 24 12:08:57 +0000 2021	Today we remember the #ArmenianGenocide, the systematic murder of the Ottoman Empire's Armenians, Assyrians &amp; Greek… https://t.co/S9IFA2ruY3	8	29
#ArmenianGenocide	Fact Check Armenia	@FCArmenia	Sat Apr 24 12:07:05 +0000 2021	Editorial director of the Armenian newspaper ""Asbarez"", John Kossakian brazenly explains how the Armenians think ab… https://t.co/fQa4Hx8dYN	29	90
#ArmenianGenocide	Diogo Pinto	@joaodiogopinto	Sat Apr 24 12:01:05 +0000 2021	Did @JosepBorrellF already remembered that today is the day when the civilised people in the world commemorate the… https://t.co/SjnADanRKc	12	49
#ArmenianGenocide	Sascha Düerkop	@SaschaDueerkop	Sat Apr 24 11:55:54 +0000 2021	Thank you, @ArnoAlahverdian, for sharing the story of Armin Wegner, a German who documented the #ArmenianGenocide.… https://t.co/qk0Ll31fRN	20	89
#ArmenianGenocide	Ramsen	@Ramsen_	Sat Apr 24 11:49:49 +0000 2021	If anyone wants to read an eyewitness account of the 1915 #genocide, I recommend Thea Halo’s “Not Even My Name.”… https://t.co/tpe0p1kYhm	4	27
#ArmenianGenocide	Tolga Akpınar	@tolgaakpinar	Sat Apr 24 11:46:13 +0000 2021	"The Armenian Genocide is a lie.
In this photo, Armenian gangs take out a pregnant woman's heart (left) and her unbo… https://t.co/PXVnBDi5u0"	239	789
#ArmenianGenocide	Kevork Almassian🇸🇾🇦🇲	@KevorkAlmassian	Sat Apr 24 11:45:49 +0000 2021	If the neo-Ottomans (ISIS, al-Nusra, FSA, etc) committing today all these heinous crimes, proudly recording and pos… https://t.co/Z968CfsErl	33	158
#ArmenianGenocide	Emmanuel (Manos) Karagiannis	@E_Karagiannis	Sat Apr 24 11:45:46 +0000 2021	The Armenian Genocide: Forgotten No Longer #armeniangenocide #genocide #Armenia https://t.co/4ST6WFBg3N	62	261
#ArmenianGenocide	Türk Teknolojisi	@turkteknolojisi	Sat Apr 24 11:45:40 +0000 2021	Millions of Turks, Kurds and Armenians were killed between 1915 and 1922 in eastern Anatolia. Here’s a look at what… https://t.co/EOyWXfM2Lq	45	141
#ArmenianGenocide	Leyla Novruz	@LeylaNovruzM	Sat Apr 24 11:45:00 +0000 2021	"Armenia has rejected Turkey's offer for an independent historical commission investigation.
Armenians know that so… https://t.co/n81U9Kt6pA"	25	52
#ArmenianGenocide	NORTH PRESS AGENCY - ENGLISH	@NPA_English	Sat Apr 24 11:42:24 +0000 2021	Armenians in #Syria's Tel Tamr commemorate the #ArmenianGenocide with the #Armenian Social Council from #Hasakah.… https://t.co/1ZZSB50k2T	24	59
#ArmenianGenocide	Metin Erbilli	@M88Erbil	Sat Apr 24 11:38:53 +0000 2021	Millions of Turks, Kurds and Armenians were killed between 1915 and 1922 in eastern Anatolia. Here’s a look at what… https://t.co/sa47bTWdVL	39	99
#ArmenianGenocide	Armenian National Institute	@ArmNatInstitute	Sat Apr 24 11:37:54 +0000 2021	"Today is the 106th anniversary of the #ArmenianGenocide.
In April 1915 the Ottoman government embarked upon the sys… https://t.co/Sgxw5olCix"	11	39
#ArmenianGenocide	Ahmet Yılmaz	@ahmetyilmaz42TC	Sat Apr 24 11:32:26 +0000 2021	"#ArmenianGenocide deceit
#ArmenianBetrayal real
#ArmenianAsala real
#ArmenianPKK real
#HocalıGenocide real… https://t.co/is8n0EiRuS"	15	35
#ArmenianGenocide	Artsakh / Karabakh Human Rights Ombudsman	@ArtsakhOmbuds	Sat Apr 24 11:30:01 +0000 2021	For the past 106 years, Turkey has avoided facing its own history, confessing and repenting for the committed crime… https://t.co/2VZz4Y1vVD	19	49
